ID;Pregunta;Categoria;Opció 1;Resposta 1;Opció 2;Resposta 2;Opció 3;Resposta 3;Opció 4;Resposta 4;Opció 5;Resposta 5;Opció 6;Resposta 6;Opció 7;Resposta 7;Opció 8;Resposta 8;Opció 9;Resposta 9;Opció 10;Resposta 10
Q_AUDACITY_01;Són veritables o falses aquestes afirmacions sobre l'Audacity?;Audacity;És un programari lliure;Veritat;Només és compatible amb Windows;Fals;Permet importar fitxers Mp3 i Wav;Veritat;La drecera F2 activa l'Eina d'envolupant;Veritat;Un fitxer .aup es reprodueix al VLC;Fals;La drecera Shift+A fa l'efecte Autoduck;Veritat;El volum de la mescla pot passar de -6dB;Fals;La digitalització es recomana a 48 kHz;Veritat;Un àudio distant es pot apropar digitalment;Fals;La primera versió va sortir l'any 2000;Veritat
Q_AUD_01;Quina és la drecera de teclat per a cadascuna d'aquestes accions a l'Audacity?;Audacity;Preferències;Ctrl+P;Guardar projecte;Ctrl+S;Exportar àudio;Ctrl+Shift+E;Zoom in;Ctrl+1;Zoom out;Ctrl+3;Zoom de la selecció;Ctrl+E;Fade out;Shift+F;Eina d'envolupant;F2;Reducció de soroll;Shift+N;Autoduck;Shift+A
Q_AUD_02;Quins són els valors tècnics recomanats a l'Audacity segons el document de la Facultat?;Audacity;Freqüència de mostratge;48000 Hz;Format de mostra;32 bits;Nivell recomanat de primers plans;-12 dB;Límit recomanat de pics de volum;-6 dB;Exportació preferida en Mp3;256 kbps o 192 kbps;Pre-roll per defecte de vídeo;5 segons;Fosa de transició;10 mil·lisegons;Colors a evitar al mesurador;Taronja i vermell;Any de sortida de la primera versió;2000;Millor opció d'exportació d'alta qualitat;Wav sense comprimir
Q_AUD_03;Són veritables o falses aquestes afirmacions sobre exportació i compatibilitat a l'Audacity?;Audacity;Audacity 2.4.2 pot importar Ogg Vorbis i FLAC;Veritat;Exportar en Wav redueix la qualitat comprimint l'àudio;Fals;La biblioteca FFMPEG permet obrir formats AAC d'Apple;Veritat;Un fitxer de projecte .aup pot sonar a Zara Studio directament;Fals;Un fitxer .aup desa el punt de l'edició de totes les pistes;Veritat;Cal exportar el màster final amb silencis al principi i al final;Fals;Exportar àudio seleccionat desa únicament el fragment marcat;Veritat;El format AAC ja ve integrat sense necessitat de FFMPEG;Fals;És necessari exportar a Mp3 o Wav per usar el fitxer fora de l'editor;Veritat;Les versions posteriors al 2020 ja inclouen la biblioteca LAME Mp3;Veritat
Q_AUD_04;Són veritables o falses aquestes tècniques d'edició a l'Audacity?;Audacity;L'efecte Autoduck abaixa el volum de fons automàticament;Veritat;L'efecte Normalitzar serveix per unificar possibles diferències de nivell;Veritat;Amb edició digital es pot arreglar un àudio llunyà afegint presència;Fals;L'eina d'envolupant (F2) ajusta els punts de volum d'un mateix clip;Veritat;El nivell de la pista esquerra (+ -) determina el volum exportat final;Fals;Per dissimular música tallada bruscament cal usar un Fade Out;Veritat;Es pot moure l'ordre de les pistes arrossegant-les amunt o avall;Veritat;Una pista d'etiquetes serveix per ubicar notes i fragments d'interès;Veritat;Pujar indiscriminadament el senyal distant pot incrementar el soroll;Veritat;Un editor de so multipista professional pot corregir qualsevol mala presa inicial;Fals
Q_AUD_05;Identifica si correspon (Veritat) o no (Fals) a les parts de la interfície de l'Audacity.;Audacity;El botó Mute anul·la el so exclusivament d'aquella pista;Veritat;El botó Solo silencia totes les altres pistes del projecte;Veritat;Al menú de la pista es pot canviar la tipologia a Mono o Estèreo;Veritat;El marcador de nivell mostra de forma gràfica el senyal sonor;Veritat;L'eina lliscant superior altera els decimals de mostratge;Fals;L'ajust del nivell de reproducció esquerre s'imprimeix a la mescla final;Fals;Les lupes s'usen per a funcions de Zoom horitzontal o vertical;Veritat;El botó d'enregistrar de la barra té un símbol rodó i vermell;Veritat;A la línia de temps superior hi veiem minuts i segons;Veritat;El mesurador Playback visualitza els nivells del micròfon entrant;Fals
Q_AUD_06;Són correctes o falses aquestes configuracions als menús d'Ajustos Inicials d'Audacity?;Audacity;Canviar a 48000 Hz: s'efectua a Preferències > Qualitat;Veritat;La interfície Windows WASAPI es tria a Preferències > Dispositius;Veritat;La interfície MME envia el so exclusivament pel mateix Windows;Fals;Escoltar pistes prèvies en gravar: s'activa a Preferències > Enregistrament (Overdub);Veritat;La biblioteca FFMPEG es busca a Preferències > Biblioteques;Veritat;S'aconsella variar per defecte el valor de latència a la versió 2.4.2;Fals;El concepte Loopback serveix per enregistrar àudios interns de l'ordinador;Veritat;El concepte Amfitrió (Host) indica l'entrada de so com WASAPI o MME;Veritat;Per quantificar amb decimals s'ha de triar l'opció Coma flotant 32 bits;Veritat;Tots els micròfons per USB funcionen sense configurar Dispositius;Fals
Q_AUD_07;Són certes (Veritat) o falses (Fals) aquestes pautes per enregistrar so a l'Audacity?;Audacity;Abans de connectar el micròfon USB cal obrir sempre el programa Audacity;Fals;Cal triar el nom concret de l'entrada seleccionant el logo del micròfon;Veritat;La font d'entrada d'un sol micròfon s'ha d'enregistrar en canal monofònic;Veritat;S'han de mantenir actius els altaveus durant l'enregistrament de veu al mateix lloc;Fals;Als ordinadors de l'aula 10 hi ha micròfon i taula de mescles de veu;Fals;El senyal dels micròfons externs mòbils s'ha de comprovar amb auriculars;Veritat;S'aconsella pujar el senyal per sobre del 0 dB perquè el resultat soni potent;Fals;Des de l'aula informatitzada es poden descarregar els fitxers de Teams al llapis;Veritat;L'alimentació +48V (Phantom) només és per micròfons de condensador;Veritat;Amb un micròfon dinàmic el commutador +48V ha d'estar a ON;Fals
Q_AUD_08;A quin menú principal, drecera o element vinculat corresponen aquests termes a Audacity?;Audacity;Per guardar el projecte en format editor;Menú Arxiu;Per convertir l'edició en Mp3 o Wav per al Zara Studio;Menú Arxiu;Per usar eines de dinàmica com Compressor;Menú Efecte;Per igualar el màxim de volum general dels clips;Menú Efecte;Per canviar els nivells generals (Qualitat, Dispositius);Menú Preferències;Format que obre per treballar però no reprodueix el VLC Media Player;Fitxer .aup;Format recomanat d'alta resolució final sense compressió;Format Wav;Format d'àudio que sí o sí demana tenir el complement FFMPEG per carregar-se;Format AAC;Tipus de canal recomanat per registrar veu amb un sol micro extern;Canal Monofònic;Plataforma oficial d'on descarregar el programa;audacityteam.org
Q_AUD_09;Són veritables o falses aquestes dinàmiques de treball en equips de la Facultat amb l'Audacity?;Audacity;Es pot tenir l'Audacity instal·lat a l'ordinador personal per avançar gratuïtament;Veritat;L'aplicació d'edició és exclusiva per a sistemes MacOS;Fals;Quan s'exporti el màster per a Zara Studio s'han de treure tots els silencis extrems;Veritat;Les músiques i efectes lliures dels Laboratoris Audiovisuals són al núvol OneDrive;Veritat;Si cal introduir locució a l'Audacity s'ha de reservar prèviament l'estudi de so;Veritat;Qualsevol component del grup pot formalitzar la reserva de l'estudi de so;Fals;Els laboratoris deixen adaptadors de cable mini USB a USB si es necessita;Fals;La Xarxa Telemàtica Educativa té videotutorials d'Audacity en català a YouTube;Veritat;Tots els formats de telèfons permeten transformar-se sense programari conversor extern;Fals;El programari lliure VLC Media Player detalla fàcilment quin còdec de so estem usant;Veritat
